productSellerID,productCategoryID,productID,productVendorID,productMerchantID,productPosition,productLocation,stars,numberReviews,productName,productPrice,productCondition
5,80164,18962979,206,2,26,Catalog,None,0,Кавоварка еспресо DELONGHI EC 685 M,303.57,new
5,80164,12469508,2522,2,27,Catalog,None,0,Кавомашина NIVONA NICR 788,967.32,new
5,80164,17701404,189,2,28,Catalog,None,0,Кавоварка еспресо MIELE CM 6350 Brilliant White,1577.99,new
5,80164,9962117,266,2,29,Catalog,90,7,Кавоварка POLARIS PCM 1516E Adore Crema,131.27,new
5,80164,17701476,189,2,30,Catalog,None,0,Кавоварка еспресо MIELE CM 6350 Graphite Grey,1577.99,new
5,80164,17701644,189,2,31,Catalog,None,0,Кавоварка еспресо MIELE CM 6350 Black,1577.99,new
5,80164,489015,2522,2,0,Catalog,None,0,Кавомашина NIVONA NICR 830,890.51,new
5,80164,1998932,2926,2,1,Catalog,80,5,Кавоварка SENCOR SCE 2000 BK,17.23,new
5,80164,1117885,206,2,2,Catalog,None,0,Кавоварка DELONGHI EC 680 R,303.57,new
5,80164,2984357,148,2,3,Catalog,None,0,Вбудована кавомашина BOSCH CTL 636 ES1,2221.21,new
5,80164,3824399,189,2,4,Catalog,None,0,Кавомашина MIELE CM6110 Black,1035.48,new
5,80164,489010,2522,2,5,Catalog,None,0,Кавоварка еспресо NIVONA NICR 831,890.28,new
5,80164,503935,2926,2,6,Catalog,None,0,Кавоварка SENCOR SCE 5000 BK,28.8,new
5,80164,4574021,206,2,7,Catalog,None,0,Кавоварка DELONGHI ECI 341 CP,227.67,new
5,80164,284212,2926,2,8,Catalog,None,0,Кавоварка SENCOR SCE 5000 WH,28.43,new
5,80164,7720366,121054,2,9,Catalog,40,1,Капельна кавоварка PETRA KM 90.07,232.6,new
2972,80164,16906226,182,17,10,Catalog,100,1,Кавомашина SAECO Lirika OTC RI9851/01 GREY,419.92,new
5,80164,1896042,3142,2,11,Catalog,90,5,Кавоварка еспресо REDMOND RCM-1503,110.02,new
5,80164,15213607,1757,2,12,Catalog,None,0,Крапельна кавоварка TRISTAR CM-1244,54.54,new
5,80164,15215112,1757,2,13,Catalog,None,0,Кавоварка еспресо TRISTAR CM-2273,128.05,new
5,80164,15215385,123313,2,14,Catalog,None,0,Крапельна кавоварка PRINCESS 242239 Belluno,96.81,new
5,80164,15220432,1149,2,15,Catalog,100,2,Крапельна кавоварка CLATRONIC KA 3642,44.14,new
