"5","В целом режимами работы доволен, но настройка порций как для кофе, так и для капучино ориентированы на маленькие чашки. ""Очень большая чашка"" в опциях - это лишь где-то половина обычной чайной чашки. Лично я люблю, попивая кофе, съесть что-то вроде круассана и почитать новости. Тут же хватает только на конфетку. Но решаемо доливанием кипятка или наливанием сразу двух чашек в одну (еще не пробовал)."
"5","Спасибо Вам что Вы есть) Реально лучший магазин где дают детальную консультацию о товаре. Менеджер Роман помог в выборе данного товара. Рекомендую."
"5","Купил именно эту кофе машину по нескольким причинам. Хотел кофе машину с капучинатором и удобную в эксплуатации, еще увидел у знакомого эту кофе машину которая служит 2 года и нареканий нет. Хочу отметить, кофе машина очень удобна в эксплуатации, легко очистить от накипи, удобно очищать жмых после приготовления кофе. Ну конечно латте и капучино готовит просто изумительно. Семья в восторге от кофе машины."
"5","Выбрала именно эту торговую марку, потому что консультировалась с друзьями, которые разбираются в кофе и продуктах. Они говорят, что для домашнего пользования лучшей кофемашины нет. Верю. Нравится."
"4","Пользуемся 3 недели,пока очень довольны. Готовит вкуснейший каппучино и еспрессо. Простое меню,легкость в использовании,правда кофе в зернах заканчивается очень быстро)))"
"5","Все что хотелось сказать- в достоинствах этой кофемашины. Отдельное спасибо ребятам, которые проконсультировали, и помогли выбрать оптимальный вариант!"
