"4","Для гурманов не подойдёт, но, если вам лень по утрам на всю семью заваривать кофе в чашках, то это самое то. Заваривает крепкий кофе в больших количествах. Присутствует функция поддержания температуры в чайнике."
"5","Отличная кофеварка, довольно быстро готовит кофе, постоянный фильтр для кофе. Единственный минус, шкала на контейнере для воды рассчитана на маленькие чашечки, пришлось подбирать количество воды"
"4","где приобрести фильтр?"
"5","Брал эту кофеварку год назад. На второй же день перестала работать кнопка. Сделали. В целом кофеварка отличная. Хороший кофе, быстро готовит, легко мыть."
