"4","Варит кофе хорошо, на выходе эспрессо получается хорошо тёплый, даже можно сказать горячий. Пенка есть, главное кофе сыпать не меньше чем мерная ложечка. И не мало важно, обязательно хорошо его трамбовать. Пью кофе movenpick, великолепный, жаль что на розетке не продаётся. Вообщем не плохая кофеварка, только побывала в ремонте,на второй день потекла. Чтобы пить вкусный кофе, нужно засыпать в неё хороший кофе!"
"5","Чудова кавоварка. Вихід гарячої кави був для мене принциповим при виборі кавоварки. Також радує гарна пінка на каві."
"1","Купил delonghi 221b. При первом подключении начал течь. Особенно в месте соединения темпера с корпусом."
"5","Нормальная кофеварка, хорошо взбивает молоко. Нравится функция автоматического отключения. Если бы эта модель была в красном цвете - было бы намного приятнее."
"5","Данная кофеварка у меня уже более 4 лет. Кофе делаю каждый день. Нареканий нет. Немного конечно надписи уже стерлись, а так работает как часики."
"5","Купили в черную пятницу. Работает отлично. Кто-то считает, что громко, ну если сравнивать с туркой, то да.))) В целом очень довольна, молоко взбивает для копучино - отлично. Главное процентность по-больше и приучиться как правильно взбивать, лично посмотрела видео."
"4","Кофеварка отличная. Вкусный кофе получился с 3 раза. Посмотрел пару роликов, докупил темпер (пользоваться ""пяткой"" на самой машине не понравилось), определился с помолом кофе и получаю удовольствие."
"5","Гарно варить каву"
