"5","Покупала для себя, дизайн супер, кофе тоже варит отличный, пока всем довольна, не шумная. Рекомендую)"
"4","Покупала в подарок дочери, она осталась довольна."
"5","Кофеварка просто шикарная! Дизайн очень оригинальный, кофе варится быстро, ароматный! Не знаю почему в предыдущих комментариях пишут, что она шумная! У меня она вообще не шумная! Не пожалела ни на секунду! Доставка очень оперативно. В пятницу вечером заказала, в понедельник уже получила, учитывая выходные дни! Я очень довольна! Рекомендую!!!"
"5","Пластиком не воняла, кофе быстро делается , не кипяток, как раз ))"
"4","."
"3","Если честно, кроме дизайна ничего примечательного в ней нет. Дороговато, довольно шумно. А еще - устройство емкости для воды не совсем хорошее, в результате чего вода с одной стороны не полностью перетекает в сторону со шлангом. В общем, брать можно только из-за дизайна."
"5","Мені товар сподобався.відповідає своїй ціні.купила для подарунку. Зовнішній вигляд гарний."
"4","Сервис как обычно на высоте, доставка четко и быстро.Покупал на подарок, подкупил дизайн. На деле работает как и все остальные капельные кофеварки, пластик и качество сборки не самое лучшее."
"5","Когда получила кофеварку и распаковала ее, то очень обрадовалась внешнему виду)) Смотрится необычно и красиво. Кофе варит быстро, я обычно варю себе одну чашку по утрам, так вот- я наливаю воды из этой же чашки и столько же кофе получаю). Понравился подогрев кофейника, утром очень удобно, когда забегаешься- а тут горячий кофеек)) Рекомендую."
