"5","Дуже задоволені покупкою, можна готувати ароматну каву дома. Ранки стали приємнішими) Багато читала про унікальні керамічні жернова в цій моделі, покладаю на них великі надії"
"5","Отличная кофеварка. Делает отличную пенку. Просто наполняется. Фильтр входит в комплектацию"
"5","пришлось немного повозиться, что бы вкус получился как в любимой кофейне, но идеал найден - двойной эспрессо + порция молока и это делает мое утро"
"4","Очень понравилась. Работает хорошо, кроме труднодоступных для мойки мест в капучинаторе, нареканий нет."
