"3","Над этой электротуркой надо стоять так же, как и над обычной - дабы кофе не сбежал... обидно... можно было за такую цену и автовыключение приделать. А вообще и обычного-то выключения нет - только выдёргивать шнур или снимать с подставки - тоже странно. Цена не маленькая. Из хорошего - выглядит наворочено и варит чуть быстрее обычного. К розетке претензий никаких. Позвонили сразу, доставили быстро."
"5","Такая на работе, у родителей и себе заказал)"
"3","."
"4","Вполне доволен потребительскими свойствами и Розетка отработала как всегда на 5-ку!"
